name,exercise_type,exercise_category,exercise_level,exercise_programming,bodyweight,goal,video
dip__regular,Push,Primary,Intermediate,Reps,true,15,/home/taha/Documents/training/exercise_library/video/push/dip_regular.mp4
dip__paused,Push,Primary,Intermediate,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_paused.mp4
dip__band_resistance,Push,Primary,Intermediate,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_band_resistance.mp4
dip__straight_bar,Push,Primary,Intermediate,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_straight_bar.mp4
push-up__regular,Push,Secondary,Beginner,Reps,true,15,/home/taha/Documents/training/exercise_library/video/push/push-up_regular.mp4
push-up__wide,Push,Secondary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_wide.mp4
push-up__narrow,Push,Secondary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_narrow.mp4
push-up__diamond,Push,Secondary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_diamond.mp4
push-up__neutral_grip,Push,Secondary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_neutral_grip.mp4
dip__assisted__band,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_assisted_band.mp4
dip__assisted__feet,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_assisted_feet.mp4
dip__negative,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_negative.mp4
push-up__pike__negative,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_pike_negative.mp4
pike__walk,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/pike_walk.mp4
push-up__scapular,Push,Secondary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_scapular.mp4
dip__bench,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_bench.mp4
dip__bench,Push,Accessory,Intermediate,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_bench.mp4
dip__half_rom,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/dip_half_rom.mp4
push-up_wall,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_wall.mp4
push-up__45_degrees,Push,Primary,Beginner,Reps,true,,/home/taha/Documents/training/exercise_library/video/push/push-up_45_degrees.mp4
